importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,amygdala,nan,3.48,22,0,-20,,189.0,,,93,22,0,-20,Right-Amygdala,21,-3,-13,Right-Amygdala,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,medial temporal gyrus,nan,4.8,-60,-30,8,,132.0,,,94,-60,-30,8,Left-SupTempGyrus (22),-57,-30,11,Left-SupTempGyrus ,22.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,precuneus,nan,6.06,14,-54,12,,1177.0,,,95,14,-54,12,Right-VentPostCing (23),14,-52,14,Right-VentPostCing ,23.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,lateral occipital cortex,nan,9.19,34,-96,-4,,1265.0,,,96,34,-96,-4,Right-SecVisual (18),35,-93,1,Right-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral occipital cortex,nan,5.68,-34,-94,-4,,297.0,,,97,-34,-94,-4,Left-SecVisual (18),-34,-91,1,Left-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,L,ventral striatum,nan,6.56,-10,10,-6,,3794.0,,,98,-10,10,-6,Left-Caudate,-10,7,-2,Left-Caudate,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,R,ventral striatum,nan,5.51,10,12,-2,,3794.0,,,99,10,12,-2,Right-Caudate,9,9,1,Right-Caudate,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,,medial prefrontal cortex,nan,5.62,-8,36,-12,,2863.0,,,100,-8,36,-12,Left-OrbFrontal (11),-8,31,-11,Left-OrbFrontal ,11.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,R,lateral occipital cortex,nan,7.98,32,-96,-2,,1575.0,,,101,32,-96,-2,Right-SecVisual (18),33,-93,3,Right-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,L,lateral occipital cortex,nan,7.06,-32,-98,-2,,700.0,,,102,-32,-98,-2,Left-SecVisual (18),-32,-95,3,Left-SecVisual ,18.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,L,motor cortex,2,,-51,-30,54,8.42,,,,284,-51,-30,54,Left-PrimSensory (1),-51,-27,50,Left-PrimSensory ,1.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,R,motor cortex,2,,48,-27,45,3.82,,,,285,48,-27,45,Right-PrimSensory (1),48,-24,42,Right-PrimSensory ,1.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,L,cerebellum,nan,,-27,-72,-21,7.08,,,,286,-27,-72,-21,Outside defined BAs,-26,-72,-13,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,R,cerebellum,nan,,21,-54,-21,6.37,,,,287,21,-54,-21,Outside defined BAs,21,-54,-13,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,L,cuneus,18,,-6,-96,21,3.68,,,,288,-6,-96,21,Left-SecVisual (18),-6,-91,21,Left-SecVisual ,18.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,L,superior temporal gyrus,22,,-57,12,-3,3.54,,,,289,-57,12,-3,Outside defined BAs,-55,8,0,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement,R,supplementary motor area,6,,18,6,72,3.35,,,,290,18,6,72,Outside defined BAs,18,11,65,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,anterior cingulate,32,,3,33,30,5.01,,,,291,3,33,30,Right-FrontEyeFields (8),2,32,27,Right-FrontEyeFields ,8.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,L/R,medial orbitofrontal,10,,0,51,-6,5.08,,,,292,0,51,-6,Outside defined BAs,0,45,-7,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,cortex frontal pole,9,,9,57,36,5.29,,,,293,9,57,36,Right-dlPFC(dorsal) (9),8,56,32,Right-dlPFC(dorsal) ,9.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,dorsolateral prefrontal cortex,9,,45,36,30,5.28,,,,294,45,36,30,Right-dlPFC(dorsal) (9),44,37,29,Right-dlPFC(dorsal) ,9.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,lateral orbitofrontal cortex,47,,54,24,-9,4.1,,,,295,54,24,-9,Right-ParsOrbitalis (47),51,20,-3,Right-ParsOrbitalis ,47.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,L,lateral orbitofrontal cortex,47/10,,-45,51,-9,3.93,,,,296,-45,51,-9,Left-AntPFC (10),-44,47,-6,Left-AntPFC ,10.0
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,L,lateral orbitofrontal cortex,47,,-57,18,-3,3.85,,,,297,-57,18,-3,Outside defined BAs,-55,14,0,Outside defined BAs,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,amygdala,nan,,27,0,-21,3.68,,,,298,27,0,-21,Right-Amygdala,26,-3,-14,Right-Amygdala,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,putamen,nan,,33,3,0,5.02,,,,299,33,3,0,Right-Putamen,31,0,3,Right-Putamen,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; effect of reward,R,thalamus,nan,,3,-18,9,3.54,,,,300,3,-18,9,Right-Thalamus,3,-18,11,Right-Thalamus,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 3 - Maximally activated voxels in areas where there was a significant modulation of responses to reward by the requirement to make an instrumental response,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement; effect of reward,R,amygdala,nan,,30,-6,-21,3.69,,,,301,30,-6,-21,Right-Hippocampus,29,-9,-14,Right-Hippocampus,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 3 - Maximally activated voxels in areas where there was a significant modulation of responses to reward by the requirement to make an instrumental response,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement; effect of reward,R,putamen,nan,,27,6,9,3.48,,,,302,27,6,9,Right-Putamen,26,3,11,Right-Putamen,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 3 - Maximally activated voxels in areas where there was a significant modulation of responses to reward by the requirement to make an instrumental response,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement; effect of reward,L,putamen,nan,,24,-3,3,3.54,,,,303,24,-3,3,Right-Putamen,23,-5,6,Right-Putamen,
+,Elliott et al,Instrumental responding for rewards is associated with enhanced neuronal response in subcortical reward systems,Table 3 - Maximally activated voxels in areas where there was a significant modulation of responses to reward by the requirement to make an instrumental response,fMRI; reward value; decision making; monetary reward; MNI; performance-dependent; movement; effect of reward,R,dopaminergic midbrain,nan,,3,-15,-21,2.85,,,,304,3,-15,-21,Outside defined BAs,2,-16,-14,Outside defined BAs,
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,nucleus accumbens,nan,,16,14,-8,4.0,,0.029,,305,16,14,-8,Right-Putamen,15,10,-4,Right-Putamen,
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,nucleus accumbens,nan,,-24,12,-12,3.67,,0.032,,306,-24,12,-12,Outside defined BAs,-24,8,-7,Outside defined BAs,
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,ventromedial prefrontal cortex,nan,,-2,54,14,3.61,,0.034,,307,-2,54,14,Left-AntPFC (10),-2,50,11,Left-AntPFC ,10.0
